antecedent_name	consequents_list	support	confidence	lift
Bartlett Pears	['Banana']	0.0036106585879371613	0.3915289256198347	2.7491883561132644
Organic Fuji Apple	['Banana']	0.009240999552240227	0.36659108087679515	2.574082947782096
Organic Navel Orange	['Bag of Organic Bananas']	0.005458858498385207	0.3640406607369759	3.073207015890152
Organic Kiwi	['Bag of Organic Bananas']	0.005049205940914764	0.35546613011401745	3.0008213993628816
Yellow Bell Pepper	['Orange Bell Pepper']	0.0030390503682109615	0.3426423200859291	24.38382129658286
Honeycrisp Apple	['Banana']	0.009212419141253918	0.34157541504768635	2.3984311051783056
Organic Large Extra Fancy Fuji Apple	['Bag of Organic Bananas']	0.007573808911372146	0.3395984621956429	2.8668676034494167
Organic Hass Avocado	['Bag of Organic Bananas']	0.018415311478845734	0.330257987356911	2.7880159368580406
Organic Broccoli	['Bag of Organic Bananas']	0.004125105985690741	0.32507507507507505	2.744262136513223
Organic Raspberries	['Bag of Organic Bananas']	0.013547114807510932	0.3191919191919192	2.694596926316405
Broccoli Crown	['Banana']	0.006964093476997533	0.31686172518422195	2.2248996392676585
Organic D'Anjou Pears	['Bag of Organic Bananas']	0.004553812150485391	0.3159286186384666	2.6670483603525756
Granny Smith Apples	['Banana']	0.003277220459763545	0.31358249772105745	2.2018739740642346
Clementines, Bag	['Banana']	0.0036106585879371613	0.31167763157894735	2.188498625590164
Apple Honeycrisp Organic	['Bag of Organic Bananas']	0.005315956443453657	0.3089700996677741	2.6083050065809266
Cucumber Kirby	['Banana']	0.00558270694599255	0.30842105263157893	2.165631990874236
Organic Lemon	['Bag of Organic Bananas']	0.008116836720112035	0.30472103004291845	2.5724346437602557
Organic Raspberries	['Organic Strawberries']	0.012861184943839492	0.30303030303030304	3.6207378279091427
Blueberries	['Banana']	0.005249268817818934	0.30010893246187365	2.107266995365944
Organic Avocado	['Banana']	0.017052978555164956	0.2976883419258274	2.090270398483398
Unsweetened Original Almond Breeze Almond Milk	['Banana']	0.003305800870749855	0.2950680272108844	2.0718714035885277
Red Raspberries	['Banana']	0.003315327674411958	0.29466553767993225	2.0690452534383206
Strawberries	['Banana']	0.014442634351748645	0.29419755482243354	2.0657592305201944
Bunched Cilantro	['Limes']	0.004229900825973878	0.29345670852610706	6.369576162915608
Jalapeno Peppers	['Limes']	0.0042775348442843945	0.2900516795865633	6.295668869140362
Seedless Red Grapes	['Banana']	0.008974249049701335	0.28975699784681636	2.0345790884331243
Roma Tomato	['Banana']	0.0042775348442843945	0.288560411311054	2.026177048236498
Organic Cilantro	['Limes']	0.0077643449846142125	0.2871740662438337	6.233209307571648
Yellow Onions	['Banana']	0.008107309916449932	0.28711201079622134	2.016006852448121
Organic Whole String Cheese	['Bag of Organic Bananas']	0.004306115255270704	0.2857142857142857	2.4119809738275237
Red Peppers	['Banana']	0.006335324435298713	0.2854077253218884	2.004039915971815
Boneless Skinless Chicken Breasts	['Banana']	0.004477597721188564	0.28279181708784595	1.9856718619479519
Organic Strawberries	['Bag of Organic Bananas']	0.023635999885678355	0.28241320432555495	2.384113464568162
Organic Gala Apples	['Bag of Organic Bananas']	0.006049520325435613	0.28234771009337484	2.3835605666214636
Organic Unsweetened Almond Milk	['Bag of Organic Bananas']	0.004563338954147494	0.28193054738081225	2.380038906781544
Small Hass Avocado	['Banana']	0.006649708956148122	0.2792	1.960451294400963
Organic Kiwi	['Organic Strawberries']	0.003953623519772881	0.278336686787391	3.325687763461818
Organic Granny Smith Apple	['Bag of Organic Bananas']	0.004915830689645317	0.2771213748657358	2.3394401926597785
Russet Potato	['Banana']	0.0029914163499004448	0.27665198237885463	1.9425599461075145
Organic Cucumber	['Bag of Organic Bananas']	0.009688759324359085	0.2718524458700882	2.2949602449449533
Red Vine Tomato	['Banana']	0.004639553383444321	0.271611823759063	1.907169596930736
Organic Carrot Bunch	['Bag of Organic Bananas']	0.0035725513732887478	0.26997840172786175	2.2791396890918825
Orange Bell Pepper	['Banana']	0.0037726142501929177	0.2684745762711864	1.8851408687843751
Organic Whole String Cheese	['Organic Strawberries']	0.004020311145407604	0.2667509481668774	3.187256320572865
100% Whole Wheat Bread	['Banana']	0.004734821420065354	0.2666309012875536	1.8721951846578797
Organic Lacinato (Dinosaur) Kale	['Bag of Organic Bananas']	0.003543970962302438	0.26628489620615603	2.2479593614340985
Large Lemon	['Banana']	0.01637657549515562	0.26450223111247884	1.857248357293703
Grape White/Green Seedless	['Banana']	0.003134318404831995	0.2636217948717949	1.8510662213062874
Limes	['Large Lemon']	0.012089513847209124	0.26240694789081886	4.238201277005015
Organic Black Beans	['Bag of Organic Bananas']	0.0031533720121562016	0.26022012578616355	2.19676097341131
Organic Blueberries	['Organic Strawberries']	0.009774500557318015	0.2580482897384306	3.083273173474541
Organic Red Bell Pepper	['Bag of Organic Bananas']	0.004696714205416941	0.25798011512297225	2.177850952558552
Organic Peeled Whole Baby Carrots	['Banana']	0.00481103584936218	0.25739041794087664	1.8073115258545724
Organic Tomato Cluster	['Bag of Organic Bananas']	0.0049539379042937304	0.2545276554087127	2.148705517555601
Lime Sparkling Water	['Sparkling Water Grapefruit']	0.003858355483151848	0.25328330206378985	9.857763577207946
Hass Avocados	['Bag of Organic Bananas']	0.004363276077243324	0.25261996690568117	2.1326009382490456
