antecedent_name	consequents_list	support	confidence	lift
Organic Strawberries	['Bag of Organic Bananas']	0.023635999885678355	0.28241320432555495	2.384113464568162
Bag of Organic Bananas	['Organic Strawberries']	0.023635999885678355	0.19953353707576002	2.384113464568162
Bag of Organic Bananas	['Organic Hass Avocado']	0.018415311478845734	0.15546083319929227	2.7880159368580406
Organic Hass Avocado	['Bag of Organic Bananas']	0.018415311478845734	0.330257987356911	2.7880159368580406
Banana	['Organic Avocado']	0.017052978555164956	0.11974045086627869	2.090270398483398
Organic Avocado	['Banana']	0.017052978555164956	0.2976883419258274	2.090270398483398
Banana	['Organic Strawberries']	0.01683386207093658	0.11820188641380694	1.412327536846679
Organic Strawberries	['Banana']	0.01683386207093658	0.20113830392714854	1.412327536846679
Organic Baby Spinach	['Bag of Organic Bananas']	0.016824335267274476	0.2258889741621898	1.906939677568166
Bag of Organic Bananas	['Organic Baby Spinach']	0.016824335267274476	0.14202991796686504	1.906939677568166
Large Lemon	['Banana']	0.01637657549515562	0.26450223111247884	1.857248357293703
Banana	['Large Lemon']	0.01637657549515562	0.11499096929560505	1.857248357293703
Banana	['Organic Baby Spinach']	0.015357207503310565	0.10783329988628002	1.4478048080280321
Organic Baby Spinach	['Banana']	0.015357207503310565	0.20619084164748017	1.4478048080280321
Strawberries	['Banana']	0.014442634351748645	0.29419755482243354	2.0657592305201944
Banana	['Strawberries']	0.014442634351748645	0.10141146564987624	2.0657592305201944
Bag of Organic Bananas	['Organic Raspberries']	0.013547114807510932	0.11436384108090719	2.694596926316405
Organic Raspberries	['Bag of Organic Bananas']	0.013547114807510932	0.3191919191919192	2.694596926316405
Organic Strawberries	['Organic Raspberries']	0.012861184943839492	0.15367103016505407	3.6207378279091427
Organic Raspberries	['Organic Strawberries']	0.012861184943839492	0.30303030303030304	3.6207378279091427
Organic Strawberries	['Organic Baby Spinach']	0.01273733649623215	0.15219123505976095	2.0433688117827997
Organic Baby Spinach	['Organic Strawberries']	0.01273733649623215	0.1710156050140701	2.0433688117827997
Large Lemon	['Limes']	0.012089513847209124	0.19526080935528542	4.238201277005015
Limes	['Large Lemon']	0.012089513847209124	0.26240694789081886	4.238201277005015
Organic Strawberries	['Organic Hass Avocado']	0.011756075719035506	0.14046670461013092	2.5191130331132086
Organic Hass Avocado	['Organic Strawberries']	0.011756075719035506	0.21083205193917648	2.5191130331132086
Organic Baby Spinach	['Organic Avocado']	0.01090819019310831	0.14645689434638015	2.5566507282315794
Organic Avocado	['Organic Baby Spinach']	0.01090819019310831	0.19042075503076666	2.5566507282315794
Organic Avocado	['Large Lemon']	0.01042232320634104	0.18193913188092467	2.9385451386590278
Large Lemon	['Organic Avocado']	0.01042232320634104	0.16833358978304355	2.9385451386590278
Limes	['Banana']	0.01010793868549163	0.2193961952026468	1.5405284916607285
Banana	['Limes']	0.01010793868549163	0.07097464713358753	1.5405284916607285
Organic Strawberries	['Organic Blueberries']	0.009774500557318015	0.1167899829254411	3.083273173474541
Organic Blueberries	['Organic Strawberries']	0.009774500557318015	0.2580482897384306	3.083273173474541
Bag of Organic Bananas	['Organic Cucumber']	0.009688759324359085	0.08179186102621844	2.2949602449449533
Organic Cucumber	['Bag of Organic Bananas']	0.009688759324359085	0.2718524458700882	2.2949602449449533
Organic Hass Avocado	['Organic Baby Spinach']	0.009583964484075948	0.1718776695711601	2.307685257338956
Organic Baby Spinach	['Organic Hass Avocado']	0.009583964484075948	0.1286774111025838	2.307685257338956
Large Lemon	['Organic Baby Spinach']	0.009469642840130708	0.1529466071703339	2.0535106823802045
Organic Baby Spinach	['Large Lemon']	0.009469642840130708	0.12714249168585315	2.0535106823802045
Banana	['Organic Fuji Apple']	0.009240999552240227	0.06488728343032979	2.574082947782096
Organic Fuji Apple	['Banana']	0.009240999552240227	0.36659108087679515	2.574082947782096
Honeycrisp Apple	['Banana']	0.009212419141253918	0.34157541504768635	2.3984311051783056
Banana	['Honeycrisp Apple']	0.009212419141253918	0.06468660111044217	2.3984311051783056
Seedless Red Grapes	['Banana']	0.008974249049701335	0.28975699784681636	2.0345790884331243
Banana	['Seedless Red Grapes']	0.008974249049701335	0.06301424844471203	2.0345790884331243
Bag of Organic Bananas	['Organic Blueberries']	0.008678918136176132	0.07326684896252211	1.9342558689761216
Organic Blueberries	['Bag of Organic Bananas']	0.008678918136176132	0.22912474849094566	1.9342558689761216
Organic Whole Milk	['Bag of Organic Bananas']	0.008621757314203511	0.22750125691302162	1.9205504611861945
Bag of Organic Bananas	['Organic Whole Milk']	0.008621757314203511	0.07278430110986006	1.9205504611861945
Organic Avocado	['Organic Strawberries']	0.008459801651947756	0.1476800266090138	1.7645451739406208
Organic Strawberries	['Organic Avocado']	0.008459801651947756	0.10108138873079112	1.7645451739406208
Organic Avocado	['Bag of Organic Bananas']	0.008316899597016205	0.14518543156494262	1.2256457451405287
Bag of Organic Bananas	['Organic Avocado']	0.008316899597016205	0.0702107125623291	1.2256457451405287
Organic Whole Milk	['Banana']	0.008240685167719378	0.2174459527400704	1.5268345254710662
